Item
"desi tadka is at 2541 civil lines haridwar highway road roorkee locality roorkee.
Desi Tadka is a popular restaurant in Roorkee known for its flavorful North Indian and Mughlai dishes, offering a casual dining experience. It’s frequently praised for its taste and value for money.
their contact number is 919897002272.
desi tadka serves North Indian, Mughlai, Chinese and is open from 8 AM to 11 PM.
"
"desi tadka offers fruit falhari in the category 'navratri specials'.
fruit falhari is seasonal fruits. for price 140 and type: veg with spice level: normal."
"desi tadka offers sabudana ki tikki in the category 'navratri specials'.
sabudana ki tikki is made with potato sabudana. for price 240 and type: veg with spice level: normal."
"desi tadka offers navratri bhalle ke chaat in the category 'navratri specials'.
navratri bhalle ke chaat is made with samak ke chawal. for price 120 and type: veg with spice level: normal."
"desi tadka offers navratri kheer in the category 'navratri specials'.
navratri kheer is made with samak ke chawal. for price 140 and type: veg with spice level: normal."
"desi tadka offers mini navratri meals in the category 'navratri specials'.
mini navratri meals is sabudana ke tikki 6 pieceschips for price 260 and type: veg with spice level: normal."
"desi tadka offers navratri thali mini in the category 'navratri specials'.
navratri thali mini is bhalle ki chaatsabudana ki tikki 6 piecesfruit chaatplain dahialoo ki chipsnavratri kheerhari chutney for price 360 and type: veg with spice level: normal."
"desi tadka offers navratri thali regular in the category 'navratri specials'.
navratri thali regular is bhalla ki chaatfruit chaataloo moongfali ki sabjipaneer makhanihari chutneyplain dahi2 kuttu ke parathaaloo chipssamak ke kheer for price 420 and type: veg with spice level: normal."
"desi tadka offers mini navratri bhalla chaat meals in the category 'navratri specials'.
mini navratri bhalla chaat meals is samak chawal bhalla chaatchips for price 180 and type: veg with spice level: normal."
"desi tadka offers chole kulcha combo in the category 'lunch and dinner special combos and thali'.
chole kulcha combo is chole kulcha2 stuffing kulcha for price 268 and type: veg with spice level: normal."
"desi tadka offers dal makhani with tawa roti in the category 'lunch and dinner special combos and thali'.
dal makhani with tawa roti is dal makhanirice4 tawa roti for price 268 and type: veg with spice level: normal."
"desi tadka offers chole with tawa roti in the category 'lunch and dinner special combos and thali'.
chole with tawa roti is chole4 soft tawa rotigulab jamun 1 piece for price 268 and type: veg with spice level: normal."
"desi tadka offers chole with tawa roti no onion no garlic in the category 'lunch and dinner special combos and thali'.
chole with tawa roti no onion no garlic is cholerice4 soft tawa rotigulab jamun 1 piece for price 268 and type: veg with spice level: normal."
"desi tadka offers dal tadka with tawa roti in the category 'lunch and dinner special combos and thali'.
dal tadka with tawa roti is dal tadkarice4 tawa roti for price 268 and type: veg with spice level: normal."
"desi tadka offers dal tadka with tawa roti no onion no garlic in the category 'lunch and dinner special combos and thali'.
dal tadka with tawa roti no onion no garlic is dal tadkarice4 tawa roti for price 268 and type: veg with spice level: normal."
"desi tadka offers punjabi dal tadka with tawa roti in the category 'lunch and dinner special combos and thali'.
punjabi dal tadka with tawa roti is punjabi dal tadkarice4 tawa roti for price 268 and type: veg with spice level: normal."
"desi tadka offers punjabi dal tadka with tawa roti no onion no garlic in the category 'lunch and dinner special combos and thali'.
punjabi dal tadka with tawa roti no onion no garlic is punjabi dal tadkarice4 tawa rotigulab jamun 1 piece for price 268 and type: veg with spice level: normal."
"desi tadka offers chole with naan in the category 'lunch and dinner special combos and thali'.
chole with naan is cholerice1 butter naan1 tandoori rotigulab jamun 1 piece for price 288 and type: veg with spice level: normal."
"desi tadka offers dal makhani with naan no onion no garlic in the category 'lunch and dinner special combos and thali'.
dal makhani with naan no onion no garlic is dal makhanirice1 butter naan1 tandoori roti buttergulab jamun 1 piece for price 288 and type: veg with spice level: normal."
"desi tadka offers chole with naan no onion no garlic in the category 'lunch and dinner special combos and thali'.
chole with naan no onion no garlic is cholerice1 butter naan1 tandoori rotigulab jamun 1 piece for price 288 and type: veg with spice level: normal."
"desi tadka offers dal tadka with naan in the category 'lunch and dinner special combos and thali'.
dal tadka with naan is dal tadkarice1 butter naan1 tandoori rotigulab jamun 1 piece for price 288 and type: veg with spice level: normal."
"desi tadka offers dal tadka with naanno onion no garlic in the category 'lunch and dinner special combos and thali'.
dal tadka with naanno onion no garlic is dal tadkarice1 butter naan1 tandoori rotigulab jamun 1 piece for price 288 and type: veg with spice level: normal."
